AGFY
REVB
NXL
EOSE
FFIE
RGLS
XELA
GOVX
HOLO
GTHX
RDZN
BLUE
MBIO
PHIL
GLYC
CRKN 
BZFD
INVZ
RELI
OM
SHMN
GGII
CRNC
CMTL
AISP
CHRS
GOEV
LLAP
AMLX
CRBU
HPNN
ACET
SRMX
STEM
AREB
FREY
EJH
SDIG
MAXN
AVTE
HLTHQ
VCIG
MINM
VXRT
RSHN
GOSS
NCPL
BW
AKBA
BLDV
GEVO
KTRA
KPTI
WBUY
XAIR
QURE
GPMT
KAVL
TSVT
BWEN
SLS
TONR
MVIS
VTYX
PEGY
PRCH
WIMI
ELEV
CRNT
VTNR
SPEC
SGMT
ASTI
ORGN
EFTR
ILPT
ALUR
CTMX
ZPTA
GWAV
MPLN
SKIN
ONL
GTLL
MAPS
MWWC
VLCN
JAGX
ALLR
MRNS
OVID
KRMD
PDSB
TSE
CKPT
BNGO
AMTX
PLX
BTOG
OB
VERU
CUTR
OXSQ
CRMD
OPI
PETS
KITT
MCRB
ASNS
ME
NDRA
LUNA
FGEN
CAPR
WRAP
NRBO
FSP
AXTI
ACRS
AEMD
CISS
GLT
POWW
DMTK
NVX
TPTW
OMGA
IHRT
ABEO
GRWG
NINE
MNY
OZSC
MESA
EMKR
LRHC
PRTS
AGBA
BNAI
NOTE
TNXP
HUBC
CRDF
VSTM
FREE
ARAY
OMER
SENS
OPTN
DRCT
SHOT
LPSN
VLD
XFOR
BFLY
RMBL
OBLG
IDEX
HOWL
ACHV
VERI
FOSL
LLBO
DXLG
SONM
SEER
BHR
SGMO
MVST
ABOS
MTC
ATOS
TXTM
KYNC
SPWH
ASRT
BLDE
RAPT
VFF
LVO
TNYA
LCTX
PYXS
RIGL
ALDX
CHMI
IMPP
KSCP
MX
CDXC
ZCAR
CDXS
AMWL
MYO
EHTH
MDIA
CARA
CYN
NNBR
DIBS
ITI
HSDT
SBEV
AGRI
BDRX
CNNA
NNVC
SACH
JSDA
INND
SRTS
ALGS
EXFY
PRST
KLXE
KOD
NVOS
CONN
LEV
YYAI
GRYP
DTC
CLEU
DXF
BGFV
OPTT
RCAT
EVC
GLUE
ATYR
DERM
AJX
SPRB
ZVRA
AADI
TSBX
BSFC
PSQH
WHLR
PBYI
FNGR
AKLI
VUZI
CAPT
IPW
ADAP
LMFA
CTXR
HMLA
GWH
TG
AKYA
MURA
BEEM
CLRB
DSGN
ZOM
EGRX
XBIT
EVTL
LTRN
RENB
BKSY
BCAB
DLTH
CTNT
ALLK
AKTS
CVGI
SJT
DOUG
CXAI
QSI
QLGN
LYRA
PRPL
AMPX
PET
FRGT
ALTO
RPTX
AULT
QUBT
STI
RDGL
PMVP
NRGV
MNTX
GREE
HMBL
LSF
FSRNQ
CERO
IGPK
HIPH
CCLD
DPLS
SGRP
ASXC
LIDR
HCTI
HLP
GRTS
SBFM
CASI
AREC
DHX
BIRD
BIVI
ATOM
ELTP
AEHL
HQGE
BRBS
LTRPA
BTAI
VERB
DC
CBAT
SCPH
DRMA
KULR
NIVF
BDSX
ARBK
WISA
GALT
LGCL
NLSP
KA
SST
LUCY
ICAD
STXS
VIGL
TRVI
DHAI
ABAT
NISN
VPER
ELUT
CUE
VSME
DNMR
SMXT
BCOV
GRST
IGEX
SLNA
MIGI
ANY
PTOP
UONE
SKYX
TDUP
LTNC
MGX
GVP
AITX
TLSA
CGEN
HBIO
GBIO
BZUN
FANH
SPCB
FTCO
SURG
LODE
IMMX
LTBR
CNTY
IFRX
DLNG
TARA
CETX
IVVD
PBM
GDHG
HYMC
INDO
XTIA
DFLI
ZURA
CLSD
OCEA
BGXX
CBTC
GANX
CACO
WTO
LTRX
XTNT
INM
GNLX
KZR
BTTR
IKNA
KXIN
AUGX
ONMD
TPHS
ERBB
AKAN
TSSI
BEEP
NDLS
LEXX
CTRM
YTRA
HCWB
GSIT
IDN
PPSI
CLPR
MTNB
ZVSA
SOL
CCG
VCSA
ICBU
KNDI
INQD
PXLW
TRVN
LUCD
SNGX
STIM
AEVA
STRR
VTGN
OESX
LQR
FTK
VIRI
FLUX
NEOV
SNOA
NCNC
APRU
CCAJ
PIXY
WKSP
ISPC
SOAR
POAI
STSS
DRRX
PAYS
KVHI
FLL
IVAC
ELDN
XTKG
NRXP
LIPO
NERV
GROM
VOR
HUSA
SLND
RLYB
CVM
BTM
OPTI
NXTC
KOPN
EQ

